Date,ASML,BBD,BCS,BIDU,HDB,HMC,IBN,INFY,KB,MELI,MMYT,NTES,NVO,PBR,RDY,SAP,SHEL,SKM,SONY,TM,TSM,UMC,VALE,WIT,^GSPC
2014-01-03,-0.003470590899956605,-0.007535211021408417,0.004449564426593611,-0.026516635987753112,0.0,0.0,0.0049874792908521925,0.02875605382000712,-0.020810164041308532,0.005015702133247757,0.028353041148019287,-0.0012776298808954145,0.01330889022868842,-0.0151290856152404,-0.006472687561157819,-0.006854266464195291,0.0018382151622686749,-0.008762903944330436,0.0011648705753022348,-0.0009948277853650822,-0.011730250124199593,0.0,-0.01386037066519008,0.02562201629415295,-0.0003330205201601544
2014-01-06,-0.020748422385145737,-0.0033318495105474355,0.011037749601200186,0.007672488488742246,0.020510694733828938,0.002699807617434491,-0.014757381975436523,-0.01480716845871588,-0.021782708769380932,-0.023757374723363256,-0.024827492472968338,-0.002304010158261427,-0.0027983074371351613,0.003044286305066368,-0.01357825963767989,0.0010666217996382343,-0.006662212518167454,-0.005884994890492656,0.006960797275196606,-0.0028257674673168864,-0.002954092032114275,0.004987547320022392,-0.0027952030102293968,-0.02157512644704962,-0.00251492725375968
2014-01-07,-0.00846620182191149,-0.005854646331225455,0.012544534212612923,0.012322577454131789,-0.0008705789645730988,-0.0022081838592686864,0.007545003402870121,-0.003915001779306371,0.0063476382910363505,-0.023729958896145043,0.030207823964835345,0.021050438879531175,0.013489630839942368,-0.01995442091636157,0.010576681074266903,-0.002846894047000781,0.008638639377492208,0.0008428218256564257,0.0011553015667553623,0.0024103780293600607,0.0005914703624232409,0.014814894741018964,-0.017649748136800536,-0.0032362006317820935,0.006063345375391549
2014-01-08,0.0026812636136810397,-0.015215815081990769,0.0187923493815374,0.016472383532193824,-0.008453507911817315,-0.0014750263613581005,0.00472166832422749,-0.005900626638801532,0.002369702324041434,0.0036258735393950303,0.09175616949455234,0.03344122363891655,0.0067826922486173835,-0.01720141251673546,0.0166442794237891,0.014973919109672273,-0.007217219994312796,-0.008460142398301507,0.05230313924307595,-0.005076484940447656,0.010588229670575267,0.05251820223900838,-0.006430782956990733,0.0072669472600292995,-0.00021223150345139885
2014-01-09,0.005673986028649658,-0.01631684945316536,0.0053051051443344655,-0.03509911692932288,-0.016827160280748377,0.0019659656243371515,0.0005541074544990199,0.006969996290885572,-0.0015791774419398052,-0.009596487115961061,-0.027980116638747,-0.03243766154587435,0.011029880270081449,-0.012698847694941673,0.03984606764045728,-0.009760696476525332,0.0034025779727193672,-0.007676219506113302,-0.00935872378736824,0.003996807315071571,-0.01949824786155885,-0.023530626713156172,-0.029093093550032645,0.0008041697612095611,0.0003482485435144511
2014-01-10,0.010264543731554276,0.01631684945316536,-0.0021186511898414473,0.023313175315961665,0.004159341679405237,0.00269728596930241,-0.0030508764970123003,0.05794970618631634,-0.017003457401400635,0.006172657080615096,0.004110540188648759,0.024762558773554044,0.019654005925783036,0.025238257501714934,0.009893919203865842,-0.012845102924720742,0.018928246027321016,-0.0008562155486480094,-0.01560797146787718,0.00398107158593497,0.008318547828560341,0.004750709599280034,0.01246817872364625,0.02930900460111685,0.0023040304904551334
2014-01-13,-0.007827006997543684,-0.011996570023458775,0.0031763327080382986,-0.04940263968195424,0.010616394724300982,-0.01529775467765182,0.011324347673582258,-0.0015138989919978307,-0.005912743896611339,-0.047091773041322504,-0.020258544055199668,-0.042214143879649946,-0.01184976708599006,-0.030041965129305792,0.010261582118468837,-0.006244079071922037,-0.013282784109908352,0.014039588039545414,-0.014144331003215216,-0.01173990379023504,0.0005914703624232409,-0.009524096215030364,-0.008784838207861911,0.0038957073583429924,-0.01265596645879441
2014-01-14,0.009143758597863538,0.013698084985455328,0.01781078625791599,0.01087628218645964,0.0002932378711215655,-0.0032378382340811918,-0.010491345082372705,0.018676536393517074,-0.0005389824270611854,0.030512112709947914,-0.003727866552205583,0.014186850901671821,0.0059425007021451925,-0.0032155208513484634,0.0037051098724467657,-0.0028948587205572807,0.006174107772020321,0.002952989413517404,-0.0011401521522753644,0.0005021619737322069,0.027414751456798836,0.00477338661575033,-0.001471724209589409,0.0,0.01075987611993412
2014-01-15,-0.019377254889009876,0.0050899048450505635,0.016478350906321992,-0.013804541965548367,0.030611685359266172,-0.003998891499768398,0.007465643862131666,-0.008961046628890301,0.008325539592617837,0.0026629980930881203,-0.03370843738093754,-0.0022666011359175897,-0.009056759855755825,0.023081041206336916,-0.005098256433877513,0.002774566945023871,-0.0016801526969922875,-0.002952989413517404,-0.006869007536556282,8.423007143498751e-05,0.0103035930513391,0.009478856490261589,0.01607051231235812,-0.007023188287108795,0.005152889134683036
2014-01-16,-0.04833169776623247,-0.015345736062984505,-0.02116212349421165,0.01455629777420775,-0.010004512243136254,0.0,-0.0071882906176012895,0.011765773616057018,-0.012379001706161574,0.09469616431926653,0.007696130101063847,0.0074097750189250355,-0.0018213815990977267,-0.013465601367028457,0.007407301802328181,-0.0024123926506671722,0.00517118093144342,-0.009764430820180081,-0.011554397858383414,0.0030085827947896604,0.033047219156863594,-0.009478856490261589,-0.000724811225883748,0.057071579152417895,-0.0013480284864257897
