Date,Equal_Weight,Lasso,SAE
2023-01-04,0.015078880648347948,0.02280437588603057,0.017626786965193375
2023-01-05,-0.0011292306432437726,0.002652946456572991,0.0017962367622139652
2023-01-06,0.030962992449659055,0.030207377856759976,0.025001452845623717
2023-01-09,0.016028872075702694,0.018051269511467183,0.008510871648196527
2023-01-10,0.0034561195078559592,0.009703278781310942,0.007860276199975758
2023-01-11,0.008314788368807058,0.011930140343935136,0.006830647123571509
2023-01-12,0.025525519444716593,0.02653126890830748,0.017218224079609712
2023-01-13,0.007635378201708676,0.01098026652606876,0.00683169588939414
2023-01-17,0.007162460327764464,0.0025376395486613745,0.005894529372499235
2023-01-18,-0.0012621561247900814,-0.004241072562546577,-0.0025338055625034883
2023-01-19,-0.0038124362761422503,-0.005139553696283272,0.0011099551834199417
2023-01-20,0.013666836184402342,0.015117976514003928,0.012722231618621294
2023-01-23,0.011442070975766327,0.014276198566474108,0.007464254456111874
2023-01-24,-0.003676494274428066,-0.004027704911214514,-0.004682366642873248
2023-01-25,-0.0011174591335247896,0.006195144697510813,-0.0029570117045167876
2023-01-26,0.01083029887848852,0.009747254392737048,0.009185544461322692
2023-01-27,-0.0027979454822730787,-0.005978589571400406,-0.005987410911636459
2023-01-30,-0.009025577499119919,-0.010215818402492971,-0.0056838807803654134
2023-01-31,0.00772097904354041,0.010242236224806689,0.007268272748547133
2023-02-01,0.010918240214346397,0.013846002900658405,0.011036499176904968
2023-02-02,0.010366004615333324,0.008288614398368921,0.002468345597650412
2023-02-03,-0.014096123974008279,-0.017294375910916315,-0.016354115804892544
2023-02-06,-0.016053464350658686,-0.01360471636161975,-0.012552108782923455
2023-02-07,0.012078952246689312,0.013317579554417591,0.013511241707048427
2023-02-08,-0.005566802141565574,-0.007788736208848235,-0.0029440471606143603
2023-02-09,-0.0006924143886113399,-0.002378458387436666,-0.004161398274840522
2023-02-10,-0.002076964150987237,-0.005219786900198642,-0.0077165666804450694
2023-02-13,0.005552394684093187,0.00880798387965065,0.01179021638168365
2023-02-14,0.0030012618304997574,0.006244269760017573,0.003137468415534528
2023-02-15,-0.015636192827617634,-0.012649677829175587,-0.007855583481575223
2023-02-16,-0.011580673711311107,-0.014381229382751215,-0.007911778417257764
2023-02-17,-0.006747737034933365,-0.008884850617441487,-0.007281859056950779
2023-02-21,-0.014181928333112381,-0.01612587518020625,-0.012888574408449927
2023-02-22,-0.0048803421157170845,-0.0031599326990345844,-0.004643688155196557
2023-02-23,0.013056448921373587,0.016559298441022108,0.010229608059182382
2023-02-24,-0.01042126139927646,-0.013250474408033952,-0.01791186912766385
2023-02-27,0.008731156130577844,0.01286305756263495,0.006700456244226771
2023-02-28,-0.00010782146160615014,-0.0029716103712527087,-0.0031229012668685385
2023-03-01,0.0036124556787981987,0.003985053273471095,0.010883635131603953
2023-03-02,0.0005436362061441713,0.0005922818487462678,0.0033016734062325526
2023-03-03,0.01397858253777251,0.015031727521396476,0.013346022068734698
2023-03-06,0.0037988356973688298,0.0025607012500987736,0.003069700313512058
2023-03-07,-0.01038027958631993,-0.015337364100357576,-0.012713889505851839
2023-03-08,0.004141454036401981,0.00614480794208383,0.0061350637333994484
2023-03-09,-0.02119575942344376,-0.02420001058504795,-0.019384678010478495
2023-03-10,-0.014161387915988755,-0.014362404819737051,-0.011185336643578125
2023-03-13,-0.008000911170169545,-0.009548615000916527,-0.006725012754372983
2023-03-14,0.012031190874965958,0.016821074214323772,0.00955396195061553
2023-03-15,-0.03160659635312335,-0.03293636150840307,-0.02429707159603467
2023-03-16,0.023305842495856766,0.025147311693789476,0.021032942864401605
2023-03-17,-0.011969390475739417,-0.00777020810996909,-0.005102197857446811
2023-03-20,0.010506582386035745,0.007768510120211403,0.0073019552332276305
2023-03-21,0.01598651107698501,0.01616900892391193,0.01145055618225932
2023-03-22,-0.01067219959504051,-0.010744893147343504,-0.010457220579141335
2023-03-23,0.007334166056537583,0.0061912680175222334,0.004251881574701244
2023-03-24,-0.010269454654176613,-0.010306765943456142,-0.002475450454525685
2023-03-27,0.0028870999667471864,0.0031452093744608334,0.0027188530183934745
2023-03-28,0.0005907899148080986,0.0015187140862948922,0.006351799463390151
2023-03-29,0.01941981618017863,0.02064394688291671,0.010726932524237398
2023-03-30,0.013304367400369443,0.01619522395517592,0.009395779586888864
2023-03-31,0.011661725463554262,0.010288061806992488,0.0077047090864343915
2023-04-03,0.005716490921631845,0.006245962893753898,0.004030283783304611
2023-04-04,-0.0026341839972925385,-0.004811888260611852,-0.004186832561405396
2023-04-05,-0.009513463003962386,-0.009526642498656201,-0.007327196619669962
2023-04-06,-0.0024484324068740904,-0.0011716062924964632,3.7302465697663933e-05
2023-04-10,-0.0005814156690657768,0.001466251923593731,-0.0019534321619705253
2023-04-11,0.004870555678978761,0.008514333718071754,0.0102462971337971
2023-04-12,-0.005825871571842001,-0.0047697197903264765,-0.0013073846439368708
2023-04-13,0.004524292374254557,0.008281407182836986,0.005235737596954948
2023-04-14,0.0014953784159530414,0.002563129999915148,-0.0011143242231046457
2023-04-17,-0.004217208344400092,-0.007662926475319409,0.0005770104600291148
2023-04-18,0.0025459043391133918,0.004228341655084122,0.0016571505224511895
2023-04-19,-0.006218546923975055,-0.012973663254530976,-0.014996021006220772
2023-04-20,-0.00028259228187543783,0.00012020913451493698,-0.00019526913788148192
2023-04-21,0.0013881564737410201,0.001842917681432965,-0.0014996378249456654
2023-04-24,-0.002312785837151665,-0.0014032858202615017,-0.002004709742747579
2023-04-25,-0.018509400952913424,-0.021252820420468055,-0.019110845453509384
2023-04-26,0.005666747048577392,0.006033958569977571,0.002745459407448081
2023-04-27,0.021373339668430802,0.022723589252349186,0.018844579542465212
2023-04-28,0.0015217455597262841,0.0037674061112245028,0.0058850468044227
2023-05-01,-0.00020391034948019637,-0.0008727369990193523,-0.00024328975084841886
2023-05-02,-0.012925862373569075,-0.015220655131422234,-0.01081211647062652
2023-05-03,0.0004461982564230027,0.0013181038016281121,0.0012636015696561032
2023-05-04,-0.008054674241332549,-0.009218218620981489,-0.004308866098085673
2023-05-05,0.017671054856609913,0.0231977043313627,0.019860126901033226
2023-05-08,0.004155848628517589,0.005919948984239198,0.006175062326931879
2023-05-09,-0.004669286115719373,-0.007524736650937669,-0.005112281023231802
2023-05-10,0.0088090249035222,0.008541846223927507,0.005806507146354889
2023-05-11,-0.005218302796503593,-0.0038275210773459634,-0.004549741861984202
2023-05-12,0.0011468872442961242,0.0014622770022896248,0.0008919125605260092
2023-05-15,0.00839929683034768,0.009467917874236065,0.012333333852078354
2023-05-16,-0.007296924577826047,-0.005653098157234027,-0.006806448744754334
2023-05-17,0.01877214172848518,0.019755901856949976,0.010443984422886743
2023-05-18,0.010221526793371183,0.011977278427716342,0.0026879753890085567
2023-05-19,-0.0015927955859762477,-0.0020073173472177075,-0.0005916902788261069
2023-05-22,0.003954697892730508,0.0031631325293588475,0.003269924918793521
2023-05-23,-0.01522428389624153,-0.01507899296343318,-0.014472600637937205
2023-05-24,-0.009300954322087662,-0.010781991596518381,-0.006465929076165722
2023-05-25,0.012407571438743048,0.012687100485621272,0.007320494965986413
2023-05-26,0.013642442563227775,0.018806481841778577,0.018937645641553758
2023-05-30,-0.009815478816859624,-0.012126130979067895,-0.014814036528633778
2023-05-31,-0.01371604708197971,-0.01276494110319959,-0.008726157902916754
2023-06-01,0.013838454912304954,0.01476591526241755,0.015405148865529128
2023-06-02,0.014086686305450513,0.011665959527139336,0.014696382853220058
2023-06-05,-0.0032480630709734726,-0.0027872545017295636,-0.002560467053688953
2023-06-06,0.006674853489339938,0.0045971943216347455,0.012440582877474071
2023-06-07,-0.010405478249698064,-0.0072180980558052,-0.006206720565849366
2023-06-08,0.003537723189694475,0.005581489586262478,0.004062709386417396
2023-06-09,0.0074807703145616244,0.005300378440290743,0.007158152167905385
2023-06-12,0.008377693341456549,0.010444475335559034,0.006469259390136983
2023-06-13,0.010909437339309491,0.006873295110832345,0.011385662686009823
2023-06-14,0.0066461199169634,0.00714790135679344,0.01013778293319767
2023-06-15,0.0014225678459052205,0.0007416712141328219,0.002621111074576632
2023-06-16,-0.009172402636675514,-0.009320372130796173,-0.008439881282116701
2023-06-20,-0.0118844714641817,-0.004762437715312373,-0.007145649100847251
2023-06-21,-0.005154307483156373,-0.004245311579742506,-0.0004020268859239451
2023-06-22,0.003355413860601786,0.002151785945933682,-3.2600011774519544e-06
2023-06-23,-0.01732228448259221,-0.019474055044737426,-0.016426149711135096
2023-06-26,-0.0070417256178867405,-0.006778656517361981,-0.0007592996558702936
2023-06-27,0.011313055203871158,0.01136332754409608,0.00866145052029843
2023-06-28,0.007777773658640186,0.005431890765647651,-0.00010520629223087496
2023-06-29,-0.0029987982187122952,-0.0024578689762453365,-0.001668483635553386
2023-06-30,0.007330412211564052,0.005281852355700778,0.005318456765484925
2023-07-03,0.009828468182329075,0.009591077293679362,0.009968413099048945
2023-07-05,-0.008979369065407639,-0.008869142065350388,-0.009065042094153597
2023-07-06,-0.021763461810618168,-0.02526130403095017,-0.01967004355424784
2023-07-07,0.005987890952955155,0.005931713145969297,0.006987772094266376
