Date,Equal_Weight,Ridge_Tracker,SAE,S&P 500 (Target)
2023-01-04,0.01816640340043918,0.010949318502838423,0.019871104304851173,0.007510694562139264
2023-01-05,0.0030483413083004507,-0.005430097319685245,-0.002051049414518502,-0.011713869136457333
2023-01-06,0.023140485898180074,0.026642053637816687,0.02693271748981374,0.022583835589031764
2023-01-09,0.00635866134851959,0.011162405300424894,0.010945803062774928,-0.0007679273259917352
2023-01-10,0.006809405493564569,-0.0002232274189140071,0.005618171645034309,0.006953997970594372
2023-01-11,0.007184979490242327,0.0054087403342126805,0.009067082808988047,0.012767571192293659
2023-01-12,0.014692165394166068,0.02005158892399983,0.01613678546134878,0.0034100849120424215
2023-01-13,0.009190392681325932,0.0038215697148107353,0.00812380060123985,0.003988892144656475
2023-01-17,0.004944801966143331,0.009002788777332071,0.003106963429473808,-0.0020325554309970073
2023-01-18,-0.0037802465576692867,0.0009974941725907627,-0.0019423345440756634,-0.015684966977744352
2023-01-19,0.0025628691339054654,-0.001354908575780911,1.2341086350176056e-05,-0.0076676719018120565
2023-01-20,0.011990641761228105,0.011191480096623962,0.01224757265811327,0.01874167355235201
2023-01-23,0.004227461856720183,0.0072822561050838175,0.008475335544734008,0.011811315951328893
2023-01-24,-0.005066800681193584,-0.005155008686049456,-0.004459761892627867,-0.0007117563642928815
2023-01-25,-0.002767888374856753,-0.004021894205695986,-0.003906963538144126,-0.0001817415734652883
2023-01-26,0.008779241280796768,0.005348071820828082,0.01058093729398557,0.010947708029114267
2023-01-27,-0.004642228375598023,0.0005175566778667928,-0.005269112693746081,0.0024917340217047723
2023-01-30,-0.007189298929279886,-0.004117135185037313,-0.005491757720653467,-0.01305356931529289
2023-01-31,0.007518877696609749,0.007216086930023735,0.006283279588885193,0.014536304416418844
2023-02-01,0.009979485315374959,0.010944535797520416,0.015321593696175029,0.010398056296885727
2023-02-02,0.0016399034944054591,0.0037855413643637092,0.00817701361391876,0.014592384626853416
2023-02-03,-0.015298990960587844,-0.011779517322164423,-0.016620808189621528,-0.010408592637284997
2023-02-06,-0.009125564157010047,-0.011822389330887972,-0.01475235053631252,-0.006159393193939877
2023-02-07,0.013299577853942424,0.013015714918893195,0.01568982191694346,0.012790364037398305
2023-02-08,-0.0030215026229747366,-0.004987377018379036,-0.004053258257176395,-0.011142573012412171
