Date,ASML,BBD,BCS,BIDU,HDB,HMC,IBN,INFY,KB,MELI,MMYT,NTES,NVO,PBR,RDY,SAP,SHEL,SKM,SONY,TM,TSM,UMC,VALE,WIT
2014-01-03,-0.0034704973015236,-0.007536322837041,0.0044493318760028,-0.0265166359877531,0.0,0.0,0.0049875590603216,0.0287561657511925,-0.0208102815225736,0.0050160014007403,0.0283530411480192,-0.0012775765901347,0.0133088911390788,-0.0151287709716063,-0.0064726218170152,-0.0068542672244209,0.0018382147902098,-0.0087631142905455,0.0011649448162092,-0.0009950033892609,-0.0117300416879233,0.0,-0.0138600762319154,0.0256220205812631
2014-01-06,-0.0207483248621072,-0.0033305398097318,0.0110378268882964,0.0076724884887422,0.0205105722325669,0.0027001241292241,-0.0147575427002994,-0.0148072214220911,-0.0217822911171774,-0.0237575239818399,-0.0248274924729683,-0.0023046362960594,-0.0027985120502811,0.0030439799572763,-0.0135781254530702,0.0010666219182837,-0.006662618302085,-0.0058848903381476,0.0069606486201125,-0.0028254157626399,-0.0029543106753133,0.0049874417021384,-0.0027952769211854,-0.0215750456549115
2014-01-07,-0.0084665856898329,-0.0058556656012278,0.0125446096984198,0.0123225774541317,-0.0008704552346623,-0.0022085635519308,0.0075452450520108,-0.0039147718632106,0.0063470398484124,-0.0237297241201277,0.0302078239648353,0.0210510606696123,0.0134899034035775,-0.0199542874968206,0.0105766130290609,-0.0028466713808645,0.0086387420369007,0.0008430333242577,0.0011553015667553,0.0024101140901553,0.0005915607837696,0.0148150003589028,-0.0176495198652419,-0.0032360315686601
2014-01-08,0.0026815524752858,-0.0152156213960699,0.0187923479762273,0.0164723835321938,-0.0084535709093871,-0.0014746464356143,0.0047215076304802,-0.0059008096965504,0.0023702386482291,0.0036256387633777,0.0917561694945523,0.033440942290881,0.0067828257954745,-0.0172016544540403,0.0166442772468495,0.0149740272871436,-0.0072169158072492,-0.0084603547058459,0.0523031392430759,-0.0050765736729667,0.0105883034385785,0.0525182022390083,-0.0064308571421884,0.0072667785363966
2014-01-09,0.0056739854848375,-0.0163164111012423,0.0053047363096516,-0.0350991169293228,-0.0168269082737788,0.0019655858539509,0.000554107454499,0.0069696995869978,-0.0015794751016326,-0.009596487115961,-0.027980116638747,-0.0324375442542024,0.0110298127641992,-0.0126986379997611,0.0398460625737733,-0.0097606943219048,0.0034025772822237,-0.007675790630564,-0.0093587944149795,0.0039968959527021,-0.0194985144895856,-0.023530525621748,-0.0290930084221903,0.000804169828777
2014-01-10,0.0102645427555767,0.0163164111012423,-0.0021182825908367,0.0233131753159616,0.0041594044200903,0.0026973499253797,-0.0030508764970123,0.0579498732726144,-0.0170035190529826,0.00617250059486,0.0041105401886487,0.024762847861329,0.0196537456177519,0.0252380405528185,0.0098939796831767,-0.012845100056996,0.0189278446495664,-0.0008567528539678,-0.015607685624458,0.0039811595192471,0.0083186502672374,0.0047506085078719,0.0124680200111084,0.029309088588844
2014-01-13,-0.0078269109155808,-0.0119964379406407,0.0031764060844845,-0.0494026396819542,0.0106160797200716,-0.0152974381855304,0.0113243476735822,-0.00151375055329,-0.0059123786821455,-0.0470915345399678,-0.0202585440551996,-0.0422140990622152,-0.0118496383465189,-0.0300417372580206,0.010260969463999,-0.006244190713903,-0.0132818802536545,0.0140399090894667,-0.0141446189795406,-0.0117399924084606,0.0005915607837696,-0.0095237914897313,-0.0087846806480746,0.0038957073583429
2014-01-14,0.0091433789787327,0.0136985554249027,0.0178107113478294,0.0108762821864596,0.0002933630710737,-0.0032379665951545,-0.0104915853870886,0.018676542467475,-0.0005391653609447,0.0305118715924841,-0.0037278665522055,0.0141862931079059,0.0059426965084021,-0.003215602049869,0.0037055982582536,-0.0028949717699315,0.0061732024976004,0.002952989100911,-0.0011402979223429,0.0005026048868224,0.027414806716727,0.0047731829818594,-0.0014717237495029,0.0
2014-01-15,-0.0193770659472072,0.0050892374021751,0.0164780652069933,-0.0138045419655483,0.0306118067490874,-0.0039988917573494,0.0074658841668475,-0.0089612304822528,0.0083254785708084,0.0026631571949522,-0.0337084373809375,-0.0022660051200666,-0.0090569558664013,0.023080798834042,-0.0050986842540972,0.0027745669450238,-0.001679551400461,-0.002952989100911,-0.0068687156603683,8.361007771995332e-05,0.010303365354972,0.0094787553988534,0.0160702764299345,-0.0070231064697789
2014-01-16,-0.048331596677297,-0.0153460785514785,-0.0211616921540915,0.0145562977742077,-0.0100042658019154,0.0,-0.007188130458916,0.0117657141839622,-0.0123790629758269,0.0946961643192665,0.0076961301010638,0.0074095124815145,-0.0018211183117338,-0.0134649145055942,0.007407668771977,-0.0024121659785691,0.0051708795977045,-0.0097645368375176,-0.0115542486100568,0.0030087601934232,0.0330471303349724,-0.0094787553988534,-0.0007249652117113,0.0570713427778042
