Date,ASML,BBD,BCS,BIDU,HDB,HMC,IBN,INFY,KB,MELI,MMYT,NTES,NVO,PBR,RDY,SAP,SHEL,SKM,SONY,TM,TSM,UMC,VALE,WIT,^SP500TR
2014-01-02,81.79537963867188,3.677673578262329,12.284595489501953,179.99000549316406,7.547944068908691,30.114513397216797,5.947949409484863,5.070093631744385,33.15348434448242,101.71913146972656,19.81999969482422,12.43818187713623,13.84929084777832,3.791316270828247,7.300019264221191,69.023681640625,37.65962600708008,18.29494285583496,3.2039408683776855,86.97972869873047,12.485379219055176,1.1230692863464355,6.523239612579346,2.8136303424835205,3286.68994140625
2014-01-03,81.51200103759766,3.650062084197998,12.339375495910645,175.27999877929688,7.547944068908691,30.114513397216797,5.977690696716309,5.218006134033203,32.47069549560547,102.23062133789062,20.389999389648438,12.422298431396484,14.034841537475586,3.734389543533325,7.252922058105469,68.55219268798828,37.728939056396484,18.135324478149414,3.207674741744995,86.89321899414062,12.339781761169434,1.1230692863464355,6.433449745178223,2.8866517543792725,3285.679931640625
2014-01-06,79.8381576538086,3.6379284858703613,12.476325035095215,176.6300048828125,7.7043538093566895,30.1959285736084,5.890122890472412,5.141310214996338,31.771039962768555,99.83052062988281,19.889999389648438,12.393709182739258,13.99561882019043,3.745774745941162,7.155106544494629,68.6253433227539,37.478397369384766,18.028913497924805,3.2300798892974854,86.64804077148438,12.303380012512207,1.128684639930725,6.415492057800293,2.8250396251678467,3277.47998046875
2014-01-07,79.16507720947266,3.616685390472412,12.633817672729492,178.82000732421875,7.697649955749512,30.12932586669922,5.934732437133789,5.121224403381348,31.973346710205078,97.48943328857422,20.5,12.657371520996094,14.185696601867676,3.671769618988037,7.231185436248779,68.43025970458984,37.803550720214844,18.044124603271484,3.233814239501953,86.85714721679688,12.31065845489502,1.1455308198928833,6.3032546043396,2.8159117698669434,3297.449951171875
2014-01-08,79.37765502929688,3.5620715618133545,12.873489379882812,181.7899932861328,7.6328511238098145,30.084922790527344,5.962819576263428,5.09109354019165,32.04920959472656,97.84354400634766,22.469999313354492,13.087810516357422,14.282242774963379,3.6091504096984863,7.352550029754639,69.4626235961914,37.531700134277344,17.89210319519043,3.4074547290802,86.41732025146484,12.441699981689453,1.2072995901107788,6.262847423553467,2.836449146270752,3297.739990234375
2014-01-09,79.82931518554688,3.504425525665283,12.941962242126465,175.52000427246094,7.505489349365234,30.144121170043945,5.966124534606934,5.126701354980469,31.99863624572754,96.90910339355469,21.850000381469727,12.67007827758789,14.440649032592773,3.5636096000671387,7.65143346786499,68.78792572021484,37.65962600708008,17.755294799804688,3.375713586807251,86.763427734375,12.201456069946289,1.1792227029800415,6.083269119262695,2.838731050491333,3298.8701171875
2014-01-10,80.65293884277344,3.5620715618133545,12.914575576782227,179.66000366210938,7.536771774291992,30.225534439086914,5.947949409484863,5.43256950378418,31.45914077758789,97.50910949707031,21.940000534057617,12.98774242401123,14.727267265319824,3.6546924114227295,7.727514266967773,67.90999603271484,38.37924575805664,17.740089416503906,3.323434829711914,87.10952758789062,12.303380012512207,1.184838056564331,6.159590721130371,2.923163414001465,3306.489990234375
2014-01-13,80.02413940429688,3.519592761993408,12.955656051635742,171.0,7.617209434509277,29.766681671142578,6.015689373016357,5.424351692199707,31.273700714111328,93.02367401123047,21.5,12.45089054107666,14.553787231445312,3.5465304851531982,7.807216644287109,67.4872817993164,37.87285232543945,17.990909576416016,3.2767577171325684,86.09284973144531,12.31065845489502,1.1736072301864624,6.105715751647949,2.934572458267212,3265.27001953125
2014-01-14,80.75920867919922,3.5681402683258057,13.188475608825684,172.8699951171875,7.619444847106934,29.67047119140625,5.952906131744385,5.526612758636475,31.256839752197266,95.90576171875,21.420000076293945,12.628782272338867,14.640524864196777,3.5351457595825195,7.836198806762695,67.29217529296875,38.107391357421875,18.044124603271484,3.2730233669281006,86.13611602783203,12.65281867980957,1.1792227029800415,6.096736431121826,2.934572458267212,3300.610107421875
2014-01-15,79.20939636230469,3.58634614944458,13.407599449157715,170.5,7.856295585632324,29.552053451538086,5.99751615524292,5.47730827331543,31.518157958984375,96.16152954101562,20.709999084472656,12.600192070007324,14.50853157043457,3.6176884174346924,7.796346664428711,67.47915649414062,38.04343795776367,17.990909576416016,3.2506179809570312,86.143310546875,12.783865928649902,1.190453290939331,6.1955060958862305,2.9140350818634033,3317.75
2014-01-16,75.47209167480469,3.531731128692627,13.126848220825195,173.0,7.77808952331543,29.552053451538086,5.9545578956604,5.5421342849731445,31.130390167236328,105.7127456665039,20.8700008392334,12.693902969360352,14.482126235961914,3.5693016052246094,7.854312419891357,67.31656646728516,38.24063491821289,17.81609535217285,3.213275909423828,86.40290069580078,13.213386535644531,1.1792227029800415,6.1910176277160645,3.0851802825927734,3313.360107421875
2014-01-17,74.74588775634766,3.4831836223602295,13.003591537475586,170.13999938964844,7.630618572235107,29.426237106323242,5.878557205200195,5.503786087036133,30.978662490844727,103.26347351074219,20.950000762939453,12.619254112243652,14.368988037109375,3.5522234439849854,7.812651634216309,66.91825103759766,37.61698532104492,17.648880004882812,3.1834020614624023,85.94144439697266,12.936746597290039,1.1736072301864624,6.1910176277160645,3.062361478805542,3300.510009765625
2014-01-21,77.18132781982422,3.5074610710144043,12.791316986083984,172.6999969482422,7.8093719482421875,29.478044509887695,6.050386905670166,5.526612758636475,30.852210998535156,103.34215545654297,21.479999542236328,12.822559356689453,14.565098762512207,3.483912229537964,7.841633319854736,66.17852020263672,37.99544906616211,17.33725357055664,3.1460604667663574,86.85714721679688,12.878508567810059,1.1736072301864624,5.957562446594238,3.0637357234954834,3309.739990234375
2014-01-22,80.8477783203125,3.5347647666931152,12.763924598693848,174.42999267578125,7.753510475158691,29.396636962890625,6.076822280883789,5.614264488220215,30.52345848083496,104.61106872558594,21.969999313354492,12.903563499450684,14.387843132019043,3.5579161643981934,7.836198806762695,65.08108520507812,38.42720413208008,17.19283676147461,3.1946043968200684,87.74403381347656,13.075069427490234,1.1736072301864624,6.069799900054932,3.0934808254241943,3312.0400390625
2014-01-23,78.27949523925781,3.443742275238037,12.79816722869873,163.5800018310547,7.5121917724609375,28.819355010986328,5.934732437133789,5.587785243988037,29.368610382080078,98.88623046875,22.260000228881836,12.36829662322998,14.440649032592773,3.4611403942108154,7.799971580505371,64.74779510498047,38.57646179199219,16.835603713989258,3.1348581314086914,86.06401062011719,12.88578987121582,1.190453290939331,5.899200439453125,3.0706005096435547,3282.639892578125
