,Equal_Weight,Ridge_Tracker,SAE
Tracking Error (Ann.),0.08787763583990973,0.08520471794334,0.08671845054742175
Cumulative Return,0.34446615126789704,0.328189335521335,0.28398644978912624
Max Daily Deviation,0.017175552201301597,0.0187398732521871,0.0182836116332208
Active Instruments,20.0,20.0,20.0
Residual Sharpe,0.86397148121664,0.7463977693783345,0.338357705752151
