Date,^SP500TR
2014-01-03,-0.0003073502535873
2014-01-06,-0.0024987827657216
2014-01-07,0.0060745992184347
2014-01-08,8.795472617606492e-05
2014-01-09,0.0003426387025395
2014-01-10,0.0023071797155793
2014-01-13,-0.0125447402850262
2014-01-14,0.0107648718774502
2014-01-15,0.0051795099142477
2014-01-16,-0.0013240296566685
2014-01-17,-0.0038858077336669
2014-01-21,0.0027926285593711
2014-01-22,0.0006946920346031
2014-01-23,-0.0089163815588939
2014-01-24,-0.0210881516074792
2014-01-27,-0.0048559360733388
2014-01-28,0.0061214359280565
2014-01-29,-0.010153262458715
2014-01-30,0.0112619811773768
2014-01-31,-0.0064863854531083
2014-02-03,-0.0230953263100488
2014-02-04,0.0076658185090092
2014-02-05,-0.0017305749500096
2014-02-06,0.012870933294387
2014-02-07,0.0132152659566582
2014-02-10,0.0015902809365133
2014-02-11,0.0110522330864171
2014-02-12,0.0002231602092077
2014-02-13,0.0058973783915572
2014-02-14,0.0048804243561271
2014-02-18,0.0013145885268421
2014-02-19,-0.0064958920422633
2014-02-20,0.0061938475022618
2014-02-21,-0.001786921889364
2014-02-24,0.0061787380137356
2014-02-25,-0.00132730705735
2014-02-26,0.0002168070621575
2014-02-27,0.005075739695961
2014-02-28,0.0027910964998696
2014-03-03,-0.0073550374752979
2014-03-04,0.015169370499473
2014-03-05,0.0001364027302503
2014-03-06,0.0018920154742616
2014-03-07,0.0006151292972607
2014-03-10,-0.0003992133600778
2014-03-11,-0.0050553297618272
2014-03-12,0.0005646593695374
2014-03-13,-0.0116418204620316
2014-03-14,-0.0027991472186581
2014-03-17,0.0095688188868674
2014-03-18,0.00721928737096
2014-03-19,-0.0061510855313589
2014-03-20,0.0060384872936189
2014-03-21,-0.0029329567054769
2014-03-24,-0.0048754881472063
2014-03-25,0.0044948759319005
2014-03-26,-0.0069955225151048
2014-03-27,-0.0017295629756475
2014-03-28,0.004669256445517
2014-03-31,0.0079353724811657
2014-04-01,0.0070848795492146
2014-04-02,0.0030223464071639
2014-04-03,-0.001115070628435
2014-04-04,-0.0125832680879085
2014-04-07,-0.0108031603460521
2014-04-08,0.0040701448759321
2014-04-09,0.0109460919113182
2014-04-10,-0.0211027421534044
2014-04-11,-0.0094302605881946
2014-04-14,0.0081896975234894
2014-04-15,0.0067348249097953
2014-04-16,0.0104614234164408
2014-04-17,0.0014066293947792
2014-04-21,0.0037818442612405
2014-04-22,0.0040861051855713
2014-04-23,-0.002089727576978
2014-04-24,0.0017387423723143
2014-04-25,-0.0081263768883328
2014-04-28,0.0032923005449152
2014-04-29,0.0047662409980659
2014-04-30,0.0030336131074353
2014-05-01,-7.646603980049349e-05
2014-05-02,-0.0013507865606374
2014-05-05,0.0019476407370238
2014-05-06,-0.0090081020080727
2014-05-07,0.0060262361870542
2014-05-08,-0.001123846539194
2014-05-09,0.0016985320924014
2014-05-12,0.0096642507722073
2014-05-13,0.0006680092143103
2014-05-14,-0.0045183897833336
2014-05-15,-0.009216783566984
2014-05-16,0.0037446036567025
2014-05-19,0.0039125819547454
2014-05-20,-0.0064871571318345
2014-05-21,0.0082253834934231
2014-05-22,0.0024980236979299
2014-05-23,0.0042533228990357
2014-05-27,0.0059775556872452
2014-05-28,-0.0009576234381736
2014-05-29,0.0054787081380904
2014-05-30,0.001849236308546
2014-06-02,0.0008185200979138
2014-06-03,-0.000327313623524
2014-06-04,0.0020684970180653
2014-06-05,0.0065701194878542
2014-06-06,0.0047634139627703
2014-06-09,0.0009884628631979
2014-06-10,-0.0002406123107583
2014-06-11,-0.0034321001424437
2014-06-12,-0.006828150151902
2014-06-13,0.0031447537139008
2014-06-16,0.0008437601020698
2014-06-17,0.0021887565566736
2014-06-18,0.0077007713919599
2014-06-19,0.0014153142198942
2014-06-20,0.0017340247935795
2014-06-23,-0.0001294394337012
2014-06-24,-0.0063687426914356
2014-06-25,0.0049106540888423
2014-06-26,-0.0010089929477885
2014-06-27,0.0019635161061994
2014-06-30,-0.0003293676956896
2014-07-01,0.0068371819917807
2014-07-02,0.0007155338982212
2014-07-03,0.0054668038490177
2014-07-07,-0.0038922634032942
2014-07-08,-0.0067793181973367
2014-07-09,0.0046933248738554
2014-07-10,-0.0041430074574808
2014-07-11,0.0015679220545479
2014-07-14,0.004834051334658
2014-07-15,-0.0019291798710447
2014-07-16,0.0043081925059471
2014-07-17,-0.0118059186280028
2014-07-18,0.0102186567974182
2014-07-21,-0.0022934556407907
2014-07-22,0.0050042208666756
2014-07-23,0.0017633654210005
2014-07-24,0.000499292363516
2014-07-25,-0.0048424552204995
2014-07-28,0.0002925575018615
2014-07-29,-0.0044895301930267
2014-07-30,0.000223849371963
2014-07-31,-0.0201373392541217
2014-08-01,-0.0028614886798496
2014-08-04,0.0071683007738325
2014-08-05,-0.0096389796594795
2014-08-06,0.0003184581552524
2014-08-07,-0.0053302401945281
2014-08-08,0.0114908228296624
2014-08-11,0.0029382086164631
2014-08-12,-0.0015847720198429
2014-08-13,0.0069406188471461
2014-08-14,0.0043874769894394
2014-08-15,5.6291451167922446e-05
2014-08-18,0.0085580301181433
2014-08-19,0.005186550902529
2014-08-20,0.0025402511288952
2014-08-21,0.0029702472368668
2014-08-22,-0.0018602082796359
2014-08-25,0.0047914098600472
2014-08-26,0.0010594610962186
2014-08-27,0.0002557444744617
2014-08-28,-0.0015575699754535
2014-08-29,0.0033955411366424
2014-09-02,-0.0004969377836836
2014-09-03,-0.0005960611587134
2014-09-04,-0.0015068927775701
2014-09-05,0.0050479284086275
2014-09-08,-0.0029065592253072
2014-09-09,-0.0065486442323017
2014-09-10,0.0037410508269601
2014-09-11,0.0011586343092826
2014-09-12,-0.0059588280695468
2014-09-15,-0.0007030685812523
2014-09-16,0.0074702773529029
2014-09-17,0.0013182656914594
2014-09-18,0.005018423187165
2014-09-19,-0.000464355892614
2014-09-22,-0.0080458984026492
2014-09-23,-0.0056899538598926
2014-09-24,0.0078195024100118
2014-09-25,-0.0163011163127411
2014-09-26,0.0087253122989068
2014-09-29,-0.0024649412788377
2014-09-30,-0.0027355098331582
2014-10-01,-0.0132462344174957
2014-10-02,9.02837005778423e-05
2014-10-03,0.0111189247551788
2014-10-06,-0.0015409668774051
2014-10-07,-0.0152380408235579
2014-10-08,0.0176517590696487
2014-10-09,-0.0208253008868641
2014-10-10,-0.0114163055391482
2014-10-13,-0.0166069635775443
2014-10-14,0.001584902581488
2014-10-15,-0.0080381989867959
2014-10-16,0.0001796180023188
2014-10-17,0.0128018747194644
2014-10-20,0.0091169154257677
2014-10-21,0.019404902526551
2014-10-22,-0.0072117720185236
2014-10-23,0.0122289901635319
2014-10-24,0.0070379352603264
2014-10-27,-0.0014947979540522
2014-10-28,0.0118656581769052
2014-10-29,-0.0012800889953048
2014-10-30,0.006279820160163
2014-10-31,0.0116683705397253
2014-11-03,-0.0001113956674085
2014-11-04,-0.0028304512363739
2014-11-05,0.0060321549031758
2014-11-06,0.0040741919031059
2014-11-07,0.0005421535362355
2014-11-10,0.0031741847571531
2014-11-11,0.0006959711530001
2014-11-12,-0.0004137587568706
2014-11-13,0.0006125093565714
2014-11-14,0.0003597620365045
2014-11-17,0.0007890171688558
2014-11-18,0.0053186177472799
2014-11-19,-0.0014392065903692
2014-11-20,0.0020074215228387
2014-11-21,0.0053617627931004
2014-11-24,0.0028737890158989
2014-11-25,-0.0010426133077512
2014-11-26,0.0030348825403105
2014-11-28,-0.0025001958436945
2014-12-01,-0.006810696224635
2014-12-02,0.0064163326780501
2014-12-03,0.0040184095693618
2014-12-04,-0.0011449235624994
2014-12-05,0.0016721161782076
2014-12-08,-0.0071353450517914
2014-12-09,-0.0023463112559891
2014-12-10,-0.0142975077621976
2014-12-11,0.0047948580135841
2014-12-12,-0.0163059516349939
2014-12-15,-0.0063343783030074
2014-12-16,-0.0085280649462404
2014-12-17,0.0201987986896075
2014-12-18,0.0238849575201829
2014-12-19,0.0045630835452605
2014-12-22,0.0039431496680535
2014-12-23,0.00179654399812
2014-12-24,-0.0001023823699224
2014-12-26,0.0033039368014282
2014-12-29,0.0010326738209034
2014-12-30,-0.0047828459255772
2014-12-31,-0.0103588488414825
2015-01-02,-0.0002016443837469
2015-01-05,-0.0183838537409464
2015-01-06,-0.0089288982286834
2015-01-07,0.011873160594801
2015-01-08,0.0177507184172949
2015-01-09,-0.008435431109758
2015-01-12,-0.0081248784879264
2015-01-13,-0.0024820312292987
2015-01-14,-0.0057990445141484
2015-01-15,-0.0092646469891715
2015-01-16,0.013346187744192
2015-01-20,0.001579882541975
2015-01-21,0.0048403904806626
2015-01-22,0.0151625788852314
2015-01-23,-0.0055037955738299
2015-01-26,0.0025739610945638
2015-01-27,-0.0134769658507583
2015-01-28,-0.0135056964180524
2015-01-29,0.0095614041224756
2015-01-30,-0.0130615860176686
2015-02-02,0.0129049799915748
2015-02-03,0.0143600585295278
2015-02-04,-0.0038665785955167
2015-02-05,0.0104373783251556
2015-02-06,-0.0031540458564638
2015-02-09,-0.0042101776115028
2015-02-10,0.0106664450762057
2015-02-11,0.0003161743331183
2015-02-12,0.0098386406957367
2015-02-13,0.0041496058634447
2015-02-17,0.0017520344120818
2015-02-18,-0.0002697532533968
2015-02-19,-0.0009005274551405
2015-02-20,0.0062300351662702
2015-02-23,-0.0002942265526595
2015-02-24,0.0027861963274666
2015-02-25,-0.0005973230513838
2015-02-26,-0.001314259926195
2015-02-27,-0.0029519074237871
2015-03-02,0.0061624399295965
2015-03-03,-0.004536923742954
2015-03-04,-0.0041918783409435
2015-03-05,0.0012387027074645
2015-03-06,-0.0141493400864067
2015-03-09,0.0040317148852526
2015-03-10,-0.0170420255219916
2015-03-11,-0.0017659081533096
2015-03-12,0.0127752617126351
2015-03-13,-0.0060692860863884
2015-03-16,0.0134614793291802
2015-03-17,-0.0033261804003785
2015-03-18,0.0121101441308297
2015-03-19,-0.0048727383545177
2015-03-20,0.0089742650124513
2015-03-23,-0.0017476096297119
2015-03-24,-0.0060744779719907
2015-03-25,-0.0146425367397959
2015-03-26,-0.0023556122354708
2015-03-27,0.0025587024397051
2015-03-30,0.0122535298636741
2015-03-31,-0.0087337636538222
2015-04-01,-0.0038468299655676
2015-04-02,0.0035497959052417
2015-04-06,0.0065947264731729
2015-04-07,-0.0020442492374073
2015-04-08,0.0030595543808455
2015-04-09,0.0044485295343399
2015-04-10,0.0051861420484566
2015-04-13,-0.0045007422568073
2015-04-14,0.0016312028518292
2015-04-15,0.0051381102136023
2015-04-16,-0.0007556605800456
2015-04-17,-0.0113745388638655
2015-04-20,0.0092180648079889
2015-04-21,-0.0014670605588626
2015-04-22,0.0051084370864149
2015-04-23,0.0024519634813682
2015-04-24,0.0022536886861974
2015-04-27,-0.0041467653067304
2015-04-28,0.0028562612238456
2015-04-29,-0.0036805227804936
2015-04-30,-0.0101312518465821
2015-05-01,0.0108653732352088
2015-05-04,0.0029335524953602
2015-05-05,-0.0118148672497522
2015-05-06,-0.0040894854066522
2015-05-07,0.0040167367284738
2015-05-08,0.0133883781773125
2015-05-11,-0.004903061437556
2015-05-12,-0.0028996644473657
2015-05-13,-8.521685882278973e-05
2015-05-14,0.0108341189401617
2015-05-15,0.0008864958787917
2015-05-18,0.003100383730116
2015-05-19,-0.0004430522661849
2015-05-20,-0.0008229680060605
2015-05-21,0.0024745104093408
2015-05-22,-0.0022247492180689
2015-05-26,-0.0103176693987396
2015-05-27,0.0092851182404469
2015-05-28,-0.001094966237547
2015-05-29,-0.0063123398323341
2015-06-01,0.0021590059765017
2015-06-02,-0.0009595328633942
2015-06-03,0.0023023593412876
2015-06-04,-0.0086419874636938
2015-06-05,-0.0013958540271445
2015-06-08,-0.0063265401486649
2015-06-09,0.000445035205729
2015-06-10,0.0120370992939218
2015-06-11,0.0020264146780579
2015-06-12,-0.0069592214047062
2015-06-15,-0.0046120355205854
2015-06-16,0.0056887988843481
2015-06-17,0.0020007199443785
2015-06-18,0.0099796679045525
2015-06-19,-0.0053157510698298
2015-06-22,0.0060753843713996
2015-06-23,0.0007183387213931
2015-06-24,-0.0073501768340609
2015-06-25,-0.002936208376342
2015-06-26,-0.000213572991516
2015-06-29,-0.0209869908623634
2015-06-30,0.0027160815043103
2015-07-01,0.0071574970830248
2015-07-02,-0.0003122709713991
2015-07-06,-0.0038360131159738
2015-07-07,0.0060718561288304
2015-07-08,-0.0164935056635808
2015-07-09,0.0022653404347305
2015-07-10,0.0122629838672043
2015-07-13,0.0110932653732653
2015-07-14,0.0044523027724707
2015-07-15,-0.0007201760919617
2015-07-16,0.0080053278233194
2015-07-17,0.0011107866244763
2015-07-20,0.0007948953766572
2015-07-21,-0.0042355801026765
2015-07-22,-0.002284186109529
2015-07-23,-0.0056267775878193
2015-07-24,-0.0107571328552378
2015-07-27,-0.0057879139613525
2015-07-28,0.0123170031029626
2015-07-29,0.0074142757255142
2015-07-30,0.0001101139474108
2015-07-31,-0.0022664997360664
2015-08-03,-0.0027580430231797
2015-08-04,-0.002223827708498
2015-08-05,0.0034893928603025
2015-08-06,-0.0075011076106115
2015-08-07,-0.0028427283227809
2015-08-10,0.0127497161646683
2015-08-11,-0.0094175515821373
2015-08-12,0.0011798066847088
2015-08-13,-0.0011228625334762
2015-08-14,0.0039089344641087
2015-08-17,0.0053849906323648
2015-08-18,-0.002439432632622
2015-08-19,-0.0082248324369196
2015-08-20,-0.0213209060821064
2015-08-21,-0.0322077353371366
2015-08-24,-0.0401821652574962
2015-08-25,-0.0136032622889548
2015-08-26,0.0383691489748372
2015-08-27,0.024110411482761
2015-08-28,0.0007317040173298
2015-08-31,-0.0083106683058211
2015-09-01,-0.0299742680577281
2015-09-02,0.0182967071400756
2015-09-03,0.0012180548323712
2015-09-04,-0.0153687207049415
2015-09-08,0.0248908397852503
2015-09-09,-0.0139096912668463
2015-09-10,0.0053477258202043
2015-09-11,0.0047870552421329
2015-09-14,-0.0040344099019922
2015-09-15,0.012762393724973
2015-09-16,0.0087064618706342
2015-09-17,-0.0023979744650795
2015-09-18,-0.0162860505373405
2015-09-21,0.0045649831520613
2015-09-22,-0.0123695052455179
2015-09-23,-0.0019988282528089
2015-09-24,-0.0033690396560128
2015-09-25,-0.0004623695214416
2015-09-28,-0.0257056309509504
2015-09-29,0.001291043661924
2015-09-30,0.0189563707005078
2015-10-01,0.002042646657097
2015-10-02,0.014312322774451
2015-10-05,0.0181774965445207
2015-10-06,-0.0035999325841054
2015-10-07,0.0083914308476042
2015-10-08,0.0087835128986881
2015-10-09,0.0007577888044689
2015-10-12,0.0012715493272938
2015-10-13,-0.0067493684312278
2015-10-14,-0.0046695864702801
2015-10-15,0.014796532876911
2015-10-16,0.0045588957837878
2015-10-19,0.000285419338363
2015-10-20,-0.00139606518524
2015-10-21,-0.0057129065977044
2015-10-22,0.0165157556801585
2015-10-23,0.0109747670515805
2015-10-26,-0.0019072098430541
2015-10-27,-0.0025556227735883
2015-10-28,0.011862975384643
2015-10-29,-0.0003341435115657
2015-10-30,-0.0048213129635179
2015-11-02,0.0118045160100894
2015-11-03,0.0027404785239895
2015-11-04,-0.0031949838776128
2015-11-05,-0.0009275423809782
2015-11-06,-0.0002326287227703
2015-11-09,-0.0096630175820191
2015-11-10,0.0017694657925897
2015-11-11,-0.0032318346614221
2015-11-12,-0.0139080403469975
2015-11-13,-0.0112578636722862
2015-11-16,0.0149659368425822
2015-11-17,-0.0011290460499662
2015-11-18,0.0161136807678428
2015-11-19,-0.0010813024036444
2015-11-20,0.0039565249315263
2015-11-23,-0.0011937750126023
2015-11-24,0.001250213067891
2015-11-25,-2.5619099799811806e-05
2015-11-27,0.000812976664374
2015-11-30,-0.0045994089402192
2015-12-01,0.0107051821329271
2015-12-02,-0.0108237119570411
2015-12-03,-0.0144350742076309
2015-12-04,0.020323917296924
2015-12-07,-0.0069376737016639
2015-12-08,-0.0064228757790338
2015-12-09,-0.0077058123858204
2015-12-10,0.0023586872580789
2015-12-11,-0.0194525757251398
2015-12-14,0.0048113513498631
2015-12-15,0.0105708307990539
2015-12-16,0.0145013016797115
2015-12-17,-0.0149991901420634
2015-12-18,-0.0179562467253191
